country, type, prefix, voice price, sms price
Comoros,Cellular Mayotte,26969,0.58,0.02
South Africa,South Africa,27,0.08,0.05
South Africa,Olo,2710001,0.1,0.05
South Africa,South Africa,2710003,0.09,0.05
South Africa,Olo,27100040,0.1,0.05
South Africa,South Africa,27100041,0.09,0.05
South Africa,South Africa,27100042,0.09,0.05
South Africa,South Africa,27100043,0.09,0.05
South Africa,South Africa,27100044,0.09,0.05
South Africa,Olo,27100070,0.1,0.05
South Africa,Olo,27100100,0.09,0.05
South Africa,Olo,27100120,0.1,0.05
South Africa,South Africa,27100300,0.09,0.05
South Africa,South Africa,27100301,0.09,0.05
South Africa,South Africa,27100302,0.09,0.05
South Africa,South Africa,27100303,0.09,0.05
South Africa,South Africa,27100304,0.09,0.05
South Africa,Olo,2710050,0.1,0.05
South Africa,South Africa,2710060,0.09,0.05
South Africa,South Africa,27100650,0.09,0.05
South Africa,South Africa,27100910,0.09,0.05
South Africa,Olo,27101000,0.1,0.05
South Africa,Olo,27101100,0.1,0.05
South Africa,Olo,2710185,0.1,0.05
South Africa,South Africa,27102760,0.09,0.05
South Africa,South Africa,27102850,0.09,0.05
South Africa,Olo,27102860,0.09,0.05
South Africa,South Africa,27103500,0.09,0.05
South Africa,South Africa,27104500,0.09,0.05
South Africa,Olo,2710492,0.09,0.05
South Africa,Olo,2710500,0.1,0.05
South Africa,South Africa,2710555,0.09,0.05
South Africa,Olo,2710590,0.1,0.05
South Africa,Olo,2710591,0.1,0.05
South Africa,South Africa,2710592,0.09,0.05
South Africa,South Africa,2710593,0.09,0.05
South Africa,South Africa,2710610,0.09,0.05
South Africa,Olo,27107440,0.12,0.05
South Africa,South Africa,2710860,0.09,0.05
South Africa,Olo,27109000,0.12,0.05
South Africa,South Africa,27109001,0.09,0.05
South Africa,South Africa,27109002,0.09,0.05
South Africa,South Africa,27109003,0.09,0.05
South Africa,South Africa,27109004,0.09,0.05
South Africa,Olo,2711100,0.1,0.05
South Africa,Johannesburg,271121720,0.09,0.05
South Africa,Johannesburg,271124716,0.09,0.05
South Africa,Johannesburg,271131010,0.09,0.05
South Africa,Johannesburg,271131011,0.09,0.05
South Africa,Johannesburg,271131012,0.09,0.05
South Africa,Johannesburg,271131013,0.09,0.05
South Africa,Johannesburg,271131014,0.09,0.05
South Africa,Johannesburg,271153724,0.09,0.05
South Africa,Johannesburg,271153725,0.09,0.05
South Africa,Johannesburg,2711568,0.09,0.05
South Africa,Johannesburg,271157026,0.09,0.05
South Africa,Johannesburg,271180810,0.09,0.05
South Africa,Johannesburg,271180811,0.09,0.05
South Africa,Johannesburg,271180812,0.09,0.05
South Africa,Johannesburg,271180813,0.09,0.05
South Africa,Johannesburg,271180814,0.09,0.05
South Africa,Johannesburg,271186166,0.09,0.05
South Africa,Johannesburg,271192883,0.09,0.05
South Africa,Olo,271196688,0.1,0.05
South Africa,Olo,271196689,0.1,0.05
South Africa,Olo,271197184,0.1,0.05
South Africa,Olo,271197185,0.1,0.05
South Africa,Olo,271197186,0.1,0.05
South Africa,Olo,271197187,0.1,0.05
South Africa,Olo,2713000,0.1,0.05
South Africa,Olo,2713001,0.1,0.05
South Africa,Olo,2713004,0.1,0.05
South Africa,Olo,27130070,0.1,0.05
South Africa,Olo,27130100,0.09,0.05
South Africa,South Africa,27130650,0.09,0.05
South Africa,South Africa,27131010,0.09,0.05
South Africa,Olo,27131100,0.12,0.05
South Africa,Olo,27131200,0.12,0.05
South Africa,South Africa,27131201,0.09,0.05
South Africa,South Africa,27131202,0.09,0.05
South Africa,South Africa,27131203,0.09,0.05
South Africa,South Africa,27131204,0.09,0.05
South Africa,South Africa,27132850,0.09,0.05
South Africa,Olo,2713590,0.09,0.05
South Africa,Olo,2714000,0.1,0.05
South Africa,Olo,2714001,0.1,0.05
South Africa,Olo,2714004,0.1,0.05
South Africa,Olo,27140070,0.1,0.05
South Africa,South Africa,27140650,0.09,0.05
South Africa,Olo,27141120,0.12,0.05
South Africa,South Africa,27142850,0.09,0.05
South Africa,Olo,2714940,0.09,0.05
South Africa,Olo,2715000,0.1,0.05
South Africa,Olo,2715001,0.1,0.05
South Africa,Olo,2715004,0.1,0.05
South Africa,Olo,27150070,0.1,0.05
South Africa,South Africa,27150650,0.09,0.05
South Africa,South Africa,27151010,0.09,0.05
South Africa,South Africa,27151011,0.09,0.05
South Africa,South Africa,27151012,0.09,0.05
South Africa,South Africa,27151013,0.09,0.05
South Africa,South Africa,27151014,0.09,0.05
South Africa,Olo,27151100,0.12,0.05
South Africa,South Africa,27152850,0.09,0.05
South Africa,Olo,2715700,0.12,0.05
South Africa,Olo,2716000,0.1,0.05
South Africa,Olo,2716001,0.1,0.05
South Africa,Olo,2716004,0.1,0.05
South Africa,South Africa,27160650,0.09,0.05
